name,year,location,program,verticals,description,website,linkedin,crunchbase,twitter,facebook,scraped_year,founder_first_name,founder_last_name,founder_full_name,founder_linkedin_url,founder_location,founder_is_austin
Conductrics,Techstars 2012,"Brooklyn, New York, United States",,"Artificial intelligence and machine learning, Fintech",Intelligent decisions as a service,https://conductrics.com,https://linkedin.com/company/conductrics,https://crunchbase.com/organization/conductrics,https://twitter.com/conductrics,https://facebook.com/pages/Conductrics/509816032375361,2012,Matt,Gershoff,Matt Gershoff,https://www.linkedin.com/in/mattgershoff,"Austin, Texas, United States",True
Dashbell,Techstars 2012,"Cambridge, Massachusetts, United States",Techstars Boston Accelerator,"Real estate tech, Technology, media and telecommunications",OpenTable for independent hotels,,https://linkedin.com/company/dashbell,https://crunchbase.com/organization/bookingmarkets-dashbell,https://twitter.com/dashbell,https://facebook.com/dashbelltravel,2012,Paige,Green (Brown),Paige Green (Brown),https://www.linkedin.com/in/paigebrown,"Austin, Texas, United States",True
Cloudsnap,Techstars 2012,"Reno, Nevada, United States",,"Fintech, Infrastructure, SaaS",Integration as a service,,https://linkedin.com/company/cloudsnapconnect,https://crunchbase.com/organization/cloudsnap,https://twitter.com/cloudsnap,https://facebook.com/cloudsnap,2012,Rick,Barkley,Rick Barkley,https://www.linkedin.com/in/rick-barkley-8839b87,"Austin, Texas, United States",True
Jebbit,Techstars 2013,"Boston, Massachusetts, United States",Techstars Boston Accelerator,"Adtech, Marketing tech",Jebbit is a no-code platform that lets you design and launch engaging quizzes and product recommendations without IT or engineering support.,https://jebbit.com,https://linkedin.com/company/2568979,https://crunchbase.com/organization/jebbit,https://twitter.com/jebbit,https://facebook.com/jebbitinc,2013,Jonathan,Lacoste,Jonathan Lacoste,https://www.linkedin.com/in/jonathanlacoste,"Austin, Texas, United States",True
Patient IO,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,Mobile,We help health systems transition into value-based care by better connecting them with patients between visits.,https://patientio.com,https://linkedin.com/company/filament-labs-inc-,https://crunchbase.com/organization/filament-labs,https://twitter.com/patientio,https://facebook.com/filamentlabs,2013,Colin,Anawaty,Colin Anawaty,https://www.linkedin.com/in/colinanawaty,"Austin, Texas, United States",True
Patient IO,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,Mobile,We help health systems transition into value-based care by better connecting them with patients between visits.,https://patientio.com,https://linkedin.com/company/filament-labs-inc-,https://crunchbase.com/organization/filament-labs,https://twitter.com/patientio,https://facebook.com/filamentlabs,2013,Jason,Bornhorst,Jason Bornhorst,https://www.linkedin.com/in/jbornhorst,"Austin, Texas, United States",True
Fosbury,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,"Fintech, Mobile",Drive store traffic and repeat business with mobile wallets campaigns,https://fosbury.co,https://linkedin.com/company/3010779,https://crunchbase.com/organization/fosbury,https://twitter.com/wearefosbury,https://facebook.com/wearefosbury,2013,Lucas,Tieleman,Lucas Tieleman,https://www.linkedin.com/in/lucastieleman,"Austin, Texas Metropolitan Area",True
MarketVibe,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,Fintech,Turn your website traffic into sales,https://marketvibe.com,https://linkedin.com/company/marketvibe,https://crunchbase.com/organization/marketvibe,https://twitter.com/WhooshTraffic,https://facebook.com/whooshtraffic,2013,Parnell,Springmeyer,Parnell Springmeyer,https://www.linkedin.com/in/pspringmeyer,"Austin, Texas, United States",True
TrueAbility,Techstars 2013,"San Antonio, Texas, United States",,"Edtech, HRtech","Performance-based IT Skills Assessment, Training and Certification Made Easy",https://trueability.com,https://linkedin.com/company/trueability,https://crunchbase.com/organization/trueability,https://twitter.com/trueability,https://facebook.com/TrueAbilityScreen,2013,Dusty,Jones,Dusty Jones,https://www.linkedin.com/in/dustyjones,"Austin, Texas Metropolitan Area",True
ProtoExchange,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,,On-demand hardware assistance from expert hardware developers,,https://linkedin.com/company/3229848,https://crunchbase.com/organization/protoexchange,https://twitter.com/ProtoExchange,,2013,Orie,Steele,Orie Steele,https://www.linkedin.com/in/or13b/,"Austin, Texas, United States",True
Gone,Techstars 2013,"San Francisco, California, United States",Techstars Austin Accelerator,"E-commerce, Mobile","Price, resell, ship, recycle",,https://linkedin.com/company/gone-app,https://crunchbase.com/organization/gone,https://twitter.com/thegoneapp,https://facebook.com/thegoneapp,2013,Nicolas,Bayerque,Nicolas Bayerque,https://www.linkedin.com/in/gonenicolasb,"Austin, Texas, United States",True
Embrace,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,"Artificial intelligence and machine learning, Fintech, Mobile",Authentic customer relationships,,https://linkedin.com/company/embrace.io,https://crunchbase.com/organization/embrace,https://twitter.com/,https://facebook.com/EmbraceCloud,2013,Bart,Bohn,Bart Bohn,https://www.linkedin.com/in/bart-bohn,"Austin, Texas, United States",True
Embrace,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,"Artificial intelligence and machine learning, Fintech, Mobile",Authentic customer relationships,,https://linkedin.com/company/embrace.io,https://crunchbase.com/organization/embrace,https://twitter.com/,https://facebook.com/EmbraceCloud,2013,Kevin,Safford,Kevin Safford,https://www.linkedin.com/in/kevinsafford,"Austin, Texas, United States",True
