Location Name,Address,City,State,Project Name (from Locations),Admin Project ID,Project Location ID
Restaurant A,123 Main St,Washington,DC,Restaurant A Group,1,101
Cafe B,456 Oak Ave,San Francisco,CA,Cafe B,2,102
Bistro C,789 Pine Rd,Austin,TX,Bistro C,3,103
Diner D,321 Elm St,Seattle,WA,Diner D,4,104
Pizzeria E,654 Maple Dr,New York,NY,Pizzeria E,5,105
Steakhouse F,987 Cedar Ln,Chicago,IL,Steakhouse F,6,106
Bakery G,147 Birch Pl,Boston,MA,Bakery G,7,107
Bar H,258 Willow Way,Denver,CO,Bar H,8,108
Grill I,369 Spruce St,Miami,FL,Grill I,9,109
Cafe J,741 Aspen Ave,Portland,OR,Cafe J,10,110
Restaurant K,852 Cherry Rd,Atlanta,GA,Restaurant K,11,111
Bistro L,963 Walnut Dr,Nashville,TN,Bistro L,12,112
Brewery M,159 Hickory Ln,San Diego,CA,Brewery M,13,113
Tavern N,267 Pecan St,Philadelphia,PA,Tavern N,14,114
Kitchen O,378 Chestnut Ave,Phoenix,AZ,Kitchen O,15,115
Deli P,489 Poplar Rd,Minneapolis,MN,Deli P,16,116
Lounge Q,591 Sycamore Dr,Detroit,MI,Lounge Q,17,117
Market R,612 Magnolia Pl,New Orleans,LA,Market R,18,118
Roastery S,723 Dogwood Way,Charleston,SC,Roastery S,19,119
Eatery T,834 Redwood St,Las Vegas,NV,Eatery T,20,120
